All,全部
"Please define the PDF object before using.","请在使用前定义 PDF 对象。"
"We don't recognize the draw line data. Please define the ""lines"" array.","我们不认识画线数据。请定义""线""数组。"
"Total (ex)","共有 (ex)"
"Total (inc)","共有 (inc)"
"Credit Memo # ","信用备忘录 #"
"Invoice # ",发票号码
"The order object is not specified.","未指定 order 对象。"
"The source object is not specified.",未指定的源对象。
"An item object is not specified.","未指定一个 item 对象。"
"A PDF object is not specified.","未指定 PDF 对象。"
"A PDF page object is not specified.","未指定 PDF 页面对象。"
"Packing Slip # ","装箱单 #"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","PDF 总模型 %1 必须或延长 \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal。"
"We cannot register an existing shipment",我们不能注册现有装运
"Parent shipment cannot be loaded for track object.",不能为跟踪对象加载父装运。
"Order Id is required for shipment document",装运单据所需的订单编号
"You can't create a shipment without products.","没有产品，你不能创建一个货件。 "
"The shipment contains product SKU ""%1"" that is not part of the original order.","这批货物中含有产品SKU“% 1”，这不是原订单的一部分。"
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","货物的数量不得超过产品SKU“% 1”的未装运数量。"
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","总模型应该从 \Magento\Sales\Model\Order\Total\AbstractTotal 扩展。"
"An invoice cannot be created when an order has a status of %1","订单的状态为 %1 时，不能创建发票"
"A creditmemo can not be created when an order has a status of %1","订单的状态为 %1 时，不能创建发票"
"The order does not allow a creditmemo to be created.",订单不允许创建发票。
"A shipment cannot be created when an order has a status of %1","当订单有% 1状态时，无法创建发货。"
"The order does not allow a shipment to be created.",该订单不允许创建一批货物。
"""Creditmemo Document Validation Error(s):\n"" .","""发票文档验证错误： \n""。"
"Could not save a Creditmemo, see error log for details",无法保存发票，请参阅错误日志以获取详细信息
"We can't save the address:\n%1",我们不能保存的地址:%1
"We don't have enough information to save the parent transaction ID.","我们没有足够的信息来保存父事务 id。"
"We cannot create an empty shipment.",我们不能创建空的装运。
"Cannot save track:\n%1",无法保存轨道:%1
"New Orders",新订单
"Order #%1 created at %2","在 %2 上创建的订单 #%1"
"Details for %1 #%2","%1 #%2 的详细信息"
"Notified Date: %1","通知日期: %1"
"Comment: %1<br/>","评论: %1 <br/>"
"Current Status: %1<br/>","当前状态: %1 <br/>"
"Total: %1<br/>","总数: %1 <br/>"
"Order # %1 Notification(s)","订单 # %1 由于"
"You can not cancel Credit Memo",你不可以取消的贷项通知单
"We cannot register an existing credit memo.",我们不能注册现有的贷项通知单。
"We found an invalid quantity to invoice item ""%1"".","我们发现一个无效的数量，发票项目""%1""。"
"The Order State ""%1"" must not be set manually.","并非必须手动设置订单状态""%1""。"
"""Shipment Document Validation Error(s):\n"" .",“装运文档验证错误”：“n”。
"Could not save a shipment, see error log for details",无法保存发票，请参阅错误日志以获取详细信息
"VAT Request Identifier",增值税请求标识符
"VAT Request Date",增值税请求日期
"Pending Payment",待付款
"On Hold",等待审核
Complete,完成
"Suspected Fraud",疑似欺诈行为
"Payment Review",付款的审查
"Email has not been sent",尚未发送电子邮件
"Authorized amount of %1","预授权的金额的 %1"
"Group was removed",删除组
"Changing address information will not recalculate shipping, tax or other order amount.","更改地址信息将不重新计算航运、 税收或其他订单金额。"
"No Payment Methods",没有付款方法
"Order Comments",订单的评论
"Payment &amp; Shipping Information",付款和发货信息
"Order Currency:",订单币种:
"Same As Billing Address",与账单地址相同
"Select from existing customer addresses:",从现有的客户地址中选择:
"You don't need to select a shipping address.",你不需要选择送货地址。
"Gift Message for the Entire Order",整个订单的礼物留言
"Custom Price",自定义价格
"Move to Shopping Cart",移动到购物车
"Sorry, no quotes are available for this order.",对不起，没有引号都可用此订单。
"You don't need to select a shipping method.",你不需要选择送货方式。
"Customer's Activities",客户活动
"Append Comments",添加评论
"Email Order Confirmation",电子邮件订单确认
"Grand Total Excl. Tax",盛大的税金除外
"Grand Total Incl. Tax",盛大的税金除外
"Payment &amp; Shipping Method",付款及运送方法
"The order was placed using %1.","有一种订单使用 %1。"
"Items to Refund",退款的项目
"Return to Stock",返回到股票
"Qty to Refund",退回的数量
"No Items To Refund",没有退款的项目
"Credit Memo Comments",信用备忘录评论
"Refund Totals",退款合计
"Email Copy of Credit Memo",电子邮件拷贝的贷项通知单
"Please enter a positive number in this field.",请在此字段中输入一个正数。
"Items Refunded",退还商品
"No Items",没有商品
"Memo Total",总备注
"Credit Memo History",信贷备注历史
"Credit Memo Totals",贷方备忘录合计
"Customer Name: %1","客户名称: %1"
"Purchased From: %1","从购买: %1"
"Shipping &amp; Handling",运费和手续费
"Create Shipment",创建装运
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.",发票和装运类型不匹配此订单上的某些商品。您可以创建仅在创建发票后的装运。
"Qty to Invoice",开票数量
"Invoice History",发票历史
"Invoice Comments",发票的评论
"Invoice Totals",发票合计
"Capture Online",捕获在线
"Capture Offline",捕获脱机
"Not Capture",不捕获
"The invoice will be created offline without the payment gateway.",发票将在没有支付网关的情况下离线创建。
"Email Copy of Invoice",发票的电子邮件副本
"Items Invoiced",商品开票
"Total Tax",总税款
"From Name",从名称
"To Name",名称
"Notification Not Applicable",通知不适用
"Order & Account Information",订单与帐户信息
"The order confirmation email was sent",订单确认电子邮件已发送
"The order confirmation email is not sent",订单确认电子邮件未发送
"Order Date",订单日期
"Order Date (%1)","订单日期 (%1)"
"Purchased From",从购买
"Link to the New Order",链接到新的订单
"Link to the Previous Order",链接到以前的订单
"Placed from IP","从 IP 放"
"%1 / %2 rate:","%1 / %2 率:"
"Notes for this Order",此订单的注意事项
"Comment added",添加备注
"Transaction Data",交易数据
"Parent Transaction ID","父事务 ID"
"Is Closed",关闭
"Child Transactions",儿童交易
"Transaction Details",交易明细
"Gift Message for this Order",此订单的礼物留言
"Shipped By",运输由
"Tracking Number",追踪号码
"Billing Last Name",账单的姓
"Find Order By",查找订单由
"ZIP Code",邮政编码
"Billing ZIP Code",帐单邮政编码
"Print All Refunds",打印所有退款
"Refund #","退款 #"
"Print Refund",打印退款
"You have placed no orders.",你还没有订单。
"Print Order",打印订单
"Print All Invoices",打印所有发票
"Invoice #",发票号码
"Print Invoice",打印发票
"About Your Order",关于您的订单
"<span class=""label"">Order Date:</span> %1","<span class=""label""> 订购日期:</span> %1"
"Refund #%1","退款 #%1"
"Shipment #%1","装运 #%1"
"Recent Orders",最近的订单
"Gift Message for This Order",此订单的礼物留言
"Recently Ordered",最近订购的
"Credit memo for your %store_name order","更新到您的 %store_name 订单"
"Thank you for your order from %store_name.","谢谢您从% store_name中订购的订单。"
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","通过 <a href=""%account_url""> 登录到您的帐户</a>，可以检查您的订单状态。"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","如果您有关于您的订单的问题，你可以通过电子邮件发送我们在 <a href=""mailto:%store_email""> %store_email</a>"
"Your Credit Memo #%creditmemo_id for Order #%order_id","您的信用备忘录# % creditmemo_id为Order % order_id"
"Billing Info",付费信息
"Update to your %store_name credit memo","更新到你 %store_name 贷项通知单"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","你订单 #%increment_id 已更新的状态为 <strong>%order_status</strong>。"
"Invoice for your %store_name order","更新到您的 %store_name 订单"
"Your Invoice #%invoice_id for Order #%order_id","为订单 #%order_id 你发票 #%invoice_id"
"Update to your %store_name invoice","更新到您的 %store_name 发票"
"Your %store_name order confirmation","您的 %store_name 订单确认"
"%customer_name,",%customer_name，
"Once your package ships we will send you a tracking number.","一旦你的包裹发货，我们会给你一个追踪号码。 "
"Your Order <span class=""no-link"">#%increment_id</span>","您的订单 <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","放在 <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.",一旦你的包裹发货我们将发送一封电子邮件的链接来跟踪您的订单。
"Update to your %store_name order","更新到您的 %store_name 订单"
"Your %store_name order has shipped","您的 %store_name 订单已发货"
"Your shipping confirmation is below. Thank you again for your business.",下面是您发货确认信息。再次感谢您为您的业务。
"Your Shipment #%shipment_id for Order #%order_id","为订单 #%order_id 你装运 #%shipment_id"
"Update to your %store_name shipment","更新您的% store_name装运"
"Gift Options for ",礼物的选项
"You have item changes",你有项目变更
Operations,操作
"Send Order Email",发送订单邮件
"Accept or Deny Payment",接受或拒绝付款
"Send Sales Emails",发送电子邮件销售
"Sales Section",销售部
"Sales Emails Section",销售电子邮件部分
"Hide Customer IP","隐藏客户 IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","选择是否客户 IP 所示订单、 发票、 发货和贷项通知单。"
"Checkout Totals Sort Order",签出总计排序顺序
"Allow Reorder",允许重新排序
"Invoice and Packing Slip Design",发票和装箱单设计
"Logo for PDF Print-outs (200x50)","标志为 PDF 打印件 (200 x 50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","您的默认商标将用于在 PDF 和 HTML 文件中。 <br />(jpeg, tiff, png) 如果您的 pdf 图像失真，尝试使用大的图像。"
"Logo for HTML Print View","HTML 打印视图的标志"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","商标只用于HTML文件中。如果留空，会使用默认的商标。<br />(jpeg, gif, png)"
"Include Tax to Amount",含税金额
"Description Message",描述消息
"Error to Show in Shopping Cart",显示购物车中的错误
"Validate Each Address Separately in Multi-address Checkout",验证每个地址分别在多地址结帐
"Multi-address Description Message",多地址描述消息
"We'll use the default description above if you leave this empty.",如果您把这个空着，我们将使用上面的默认描述。
"Multi-address Error to Show in Shopping Cart",多地址错误显示在购物车
"We'll use the default error above if you leave this empty.",如果您把这个空着，我们将使用上面的默认错误。
"Use Aggregated Data",使用聚合数据
"Orders Cron Settings","订单 Cron 设置"
"Pending Payment Order Lifetime (minutes)","待付款订单寿命 (分钟)"
"Sales Emails",销售电子邮件
"Asynchronous sending",异步发送
"New Order Confirmation Email Sender",新订单确认电子邮件发件人
"New Order Confirmation Template",新订单确认模板
"New Order Confirmation Template for Guest",新订单确认模板为客人的
"Send Order Email Copy To",发送订单的电子邮件的复件到
"Send Order Email Copy Method",发送订单的电子邮件拷贝方法
"Order Comment Email Sender",订单评论的电子邮件发件人
"Order Comment Email Template",订单评论电子邮件模板
"Order Comment Email Template for Guest",客人的订单评论电子邮件模板
"Send Order Comment Email Copy To",发送订单备注邮件的复件到
"Send Order Comments Email Copy Method",发送订单评论电子邮件复制方法
"Invoice Email Sender",发票的电子邮件发件人
"Invoice Email Template",发票的电子邮件模板
"Invoice Email Template for Guest",客人的发票电子邮件模板
"Send Invoice Email Copy To",发送发票电子邮件的复件到
"Send Invoice Email Copy Method",发送发票电子邮件复制方法
"Invoice Comment Email Sender",发票的评论的电子邮件发件人
"Invoice Comment Email Template",发票的评论的电子邮件模板
"Invoice Comment Email Template for Guest",客人的发票评论电子邮件模板
"Send Invoice Comment Email Copy To",发送发票备注邮件的复件到
"Send Invoice Comments Email Copy Method",发送发票评论电子邮件复制方法
"Shipment Email Sender",装运电子邮件发件人
"Shipment Email Template",装运电子邮件模板
"Shipment Email Template for Guest",装运电子邮件模板为客人的
"Send Shipment Email Copy To",发送装运电子邮件的复件到
"Send Shipment Email Copy Method",发送装运电子邮件复制方法
"Shipment Comments",发货备注
"Shipment Comment Email Sender",装运的评论的电子邮件发件人
"Shipment Comment Email Template",装运的评论的电子邮件模板
"Shipment Comment Email Template for Guest",客人的装运评论电子邮件模板
"Send Shipment Comment Email Copy To",发送装运备注邮件的复件到
"Send Shipment Comments Email Copy Method",发送装运评论电子邮件复制方法
"Credit Memo Email Sender",信用备忘录电子邮件发件人
"Credit Memo Email Template",信用备忘录电子邮件模板
"Credit Memo Email Template for Guest",客人的信用备忘录电子邮件模板
"Send Credit Memo Email Copy To",发送信用备注邮件的复件到
"Send Credit Memo Email Copy Method",发送信用备忘录电子邮件复制方法
"Credit Memo Comment Email Sender",信用备忘录评论的电子邮件发件人
"Credit Memo Comment Email Template",信用备忘录评论电子邮件模板
"Credit Memo Comment Email Template for Guest",客人的信用备忘录评论电子邮件模板
"Send Credit Memo Comment Email Copy To",发送信用备忘录备注邮件的复件到
"Send Credit Memo Comments Email Copy Method",发送信用备忘录评论电子邮件复制方法
"PDF Print-outs","PDF 打印件"
"Display Order ID in Header","在页眉中显示订单 ID"
"Customer Order Status Notification",客户订单状态通知
"Asynchronous indexing",异步索引
"Orders and Returns Search Form",订单和返回搜索表单
"ZIP/Post Code",邮政代码
"Signed-up Point",签署了点
"Invoice Date",发票日期
"Ship Date",运送日期
"Total Quantity",总数量
"Default Status",默认状态
"State Code and Title",状态代码和标题
"Item Status",商品状态
"Original Price",原价
"Tax Percent",纳税百分比
"PDF Credit Memos","PDF 贷项通知单"
"Print Invoices",打印发票
"Print Packing Slips",打印装箱单
"Print Credit Memos",打印贷项通知单
"Print All",打印所有
"Print Shipping Labels",打印发货标签
"Purchase Date",购买时间
"Customer Email",客户电子邮件
"Shipping and Handling",运费和手续费
"PDF Invoices","PDF 发票"
"PDF Shipments","PDF 发货"
"Move to Archive",移动到存档
"Move to Order Management",移动订单管理
"We have archived the order.",我们已存档的秩序。
"Please specify the order ID to be archived.","请指定要归档的订单 ID。"
"We archived %1 order(s).","我们存档 %1 订单。"
"We can't archive the selected order(s).",我们不能将存档所选的订单。
"We removed %1 order(s) from the archive.","我们从档案中删除 %1 订单。"
"We have removed the order from the archive.",我们有从存档中删除顺序。
"Please specify the order ID to be removed from archive.","请指定要从档案中删除的订单 ID。"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","此存档中有 %1 的订单。他们都将移动到常规表后存档已禁用。"
"Restore from Archive",从备份中还原
"Orders, Invoices, Shipments, Credit Memos Archiving",订单，发票，发货，存档的贷项通知单
"Enable Archiving",启用存档
"Archive Orders Purchased",档案订单购买
"Order Statuses to be Archived",订单状态要存档
"Mass Add",批量添加
"Sales Archive",销售档案
"Return to Order Management",返回订单管理
"Go to Archive",转到存档
"The ""%1"" product is not part of the current creditmemo.","“% 1”产品不是当前信用记录的一部分。"
"The return to stock argument contains product item that is not part of the original order.",返回库存参数包含不属于原始订单的产品项
"Are you sure you want to delete this?",您确定要删除此项目吗？
"Apply the rule only to cart items matching the following conditions (leave blank for all items).",仅将规则应用于与下列条件匹配的购物车项目（对所有项目留空）。
"Apply the rule only if the following conditions are met (leave blank for all products).","仅在满足以下条件时应用规则 (留空所有产品)。"
"Manage Coupon Codes",管理优惠券代码
"Coupon Qty",优惠券数量
"If empty no separation.",如果空没有分离。
"Times Used",使用时间
"Are you sure you want to delete the selected coupon(s)?","确实要删除所选的 coupon(s) 吗?"
Labels,标签
"%1 - Discounts and Coupons",%1-折扣和优惠
Coupons/Discounts,优惠券/折扣
"We can't delete the rule right now. Please review the log and try again.",我们现在不能删除该规则。请查看日志并再试一次。
"New Cart Price Rule",新车价格规则
"Rule is not defined",没有定义规则
"%1 coupon(s) have been generated.","%1 coupon(s) 已生成。"
"Invalid data provided",提供无效数据
"Something went wrong while generating coupons. Please review the log and try again.",在生成优惠券时出了错。请查看日志并再试一次。
"The wrong rule is specified.",指定了错误的规则。
"We cannot create the requested Coupon Qty. Please check your settings and try again.",我们不能创建请求的优惠券数量请检查您的设置，然后重试。
"Specified rule does not allow coupons",指定的规则不允许优惠券
"Specified rule only allows auto generated coupons",指定的规则只允许自动生成优惠券
"Specified rule does not allow auto generated coupons",指定的规则不允许自动生成优惠券
"Error occurred when saving coupon: %1","保存优惠券时出现错误: %1"
"Coupon with the same code",优惠券使用相同的代码
"No Coupon",没有优惠券
"Specific Coupon",具体的优惠券
"Can't acquire coupon.",无法获取优惠券。
"Total Items Quantity",总的项目数量
"Shipping Postcode",航运邮编
"Shipping Region",航运区域
"Shipping State/Province",航运自治区
"Shipping Country",航运大国
"Product attribute combination",产品属性组合
"Products subselection",产品部分选定
"Conditions combination",条件组合
"Cart Attribute",购物车属性
"Quantity in cart",购物车中的数量
"Price in cart",购物车中的价格
"Row total in cart",总的购物车中的行
"Cart Item Attribute",购物车项目属性
FOUND,发现
"NOT FOUND",找不到
"If an item is %1 in the cart with %2 of these conditions true:","如果一个项目是 %1 与 %2 的这些条件真车中:"
"total quantity",总数量
"total amount",总金额
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","如果选定项目中的 %1 %2 %3 购物车匹配 %4 的这些条件:"
"Percent of product price discount",自动生成的具体优惠券代码
"Fixed amount discount",固定的金额的折扣
"Fixed amount discount for whole cart",整车的固定的金额折扣
"Buy X get Y free (discount amount is Y)","买 X 得到 Y 免费 (折扣金额是 Y)"
"Specified rule does not allow automatic coupon generation",指定的规则不允许自动优惠券一代
"Error occurred when generating coupons: %1","生成的优惠券时出现错误: %1"
"Some coupons are invalid.",一些优惠券是无效的。
"Item totals are not set for the rule.",项目总计不会设定规则。
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","%1 购物车价格规则，基于""%2""属性已被禁用。"
"Your coupon was successfully removed.",您的优惠券已成功删除。
"Your coupon was successfully applied.",您的优惠券已成功应用。
Promotion,促销
"Auto Generated Specific Coupon Codes",自动生成特定的优惠券代码
"
                    If you select and save the rule you will be able to generate multiple coupon codes.
                ","
如果你选择和保存该规则，您将能够生成多个优惠券代码。                "
"Use Auto Generation",使用自动生成
"Uses per Coupon",每张优惠券的使用
"
                    Usage limit enforced for logged in customers only.
                ","
仅限于登录客户的使用限制。                "
"Uses per Customer",每个客户的用途
"Public In RSS Feed","公众在 rss 订阅源"
"Maximum Qty Discount is Applied To",最大数量折扣是应用于
"Discount Qty Step (Buy X)","折扣数量步 (买 X)"
"Discount amount is applied to subtotal only",折扣金额用于只小计
"Discount amount is applied to subtotal and shipping amount separately","

折扣金额分别适用于小计和装运金额。 "
"Apply to Shipping Amount",适用于航运量
"Default Rule Label for All Store Views",所有存储视图的默认规则标签
"An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2","出错处理;带 id %1 到期日期的赠券后并没有更新。错误消息是： %2"
"Future Update in this time range already exists. Select a different range to add a new Future Update.",将来的更新，在此时间范围内已存在。选择一个不同的范围，以添加一个新的未来更新。
"The cart price rule will be removed from the update and all scheduled changes will be lost.",目录价格规则将从更新中删除，所有预定的变更将丢失。
"Not enough arguments",没有足够的参数
"File not found",未能找到文件
"Fatal Error",致命错误
"Use deferred Stock update",使用延迟股票更新
"Use Deferred Stock Update",使用延迟现货库存更新
"Add Scheduled Export",添加计划的导入
"Add Scheduled Import",添加计划的导入
"Scheduled Import/Export",预定的进出口
"Please correct the scheduled operation type.",请更正预定的操作类型。
"Server Type",服务器类型
"File Directory",文件目录
"FTP Host[:Port]","FTP 主机 [: 端口]"
"File Mode",文件模式
"Passive Mode",被动模式
"Failed Email Receiver",失败的电子邮件接收
"Failed Email Sender",失败的电子邮件发件人
"Failed Email Template",失败的电子邮件模板
"Send Failed Email Copy To",发送失败邮件的复件到
"Send Failed Email Copy Method",发送失败邮件复制方法
"Export File Information",导出文件信息
"Export Failed Emails",导出失败的电子邮件
"File Format",文件格式
"Import File Information",导出文件信息
"Import Failed Emails",导出失败的电子邮件
"On Error",关于错误
"File Name",文件名
"Clean Now",现在清除
"Scheduled Imports/Exports",预定的进口出口
"The operation ran.",操作运行。
"We can't run the operation right now, see error log for details.",我们不能运行现在的操作，请参阅错误日志的详细信息。
"We can't delete the scheduled operation right now.",我们不能删除现在预定的操作。
"No valid data sent",没有有效的数据传送
"You deleted the history files.",你删除的历史记录文件。
"We can't delete the history files right now.",我们现在不能删除历史记录文件。
"We cannot change status for all items.",我们不能改变所有的商品状态。
"You deleted a total of %1 record(s).",你一共有%1的记录删除。
"We can't delete all the items right now.",我们现在不能删除所有商品。
"We can't save the scheduled operation right now.",我们不能保存现在预定的操作。
"We can't create directory ""%1""","我们无法创建目录""%1"""
"The directory ""%1"" is not writable.","""%1""目录不可写。"
"We can't delete ""%1"" because the directory is not writable.","我们不能删除""%1""，因为该目录不可写。"
"Scheduled Import",计划导入
"New Scheduled Import",新计划导入
"Scheduled Export",计划的出口
"New Scheduled Export",新计划的出口
"You saved the scheduled import.",你保存计划的导入。
"You saved the scheduled report.",你保存计划的报告。
"You deleted the scheduled import.",你删除计划的导入。
"You deleted the scheduled export.",你删除计划的出口。
"Are you sure you want to delete this scheduled import?",是否确实要删除此计划导入?
"Are you sure you want to delete this scheduled export?",是否确实要删除此计划的出口?
"We were unable to save the cron expression.","我们是无法保存 cron 表达式。"
"Unable to delete the cron task.","不能删除 cron 任务。"
"Please correct the cron job task","请更正 cron 作业任务"
"File has been not created",不创建文件
"Something went wrong and the operation failed.",出了错误，操作失败。
"We can't read the file source because the file name is empty.",我们无法读取的文件源，因为文件名称为空。
"Connecting to server",正在连接服务器
"Reading import file",读取导入文件
"We can't read the import file.",我们无法读取导入文件。
"Save history file content ""%1""","保存历史文件内容""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","我们不能将“% 1”写入“% 2”与“% 3”驱动程序。"
"Save file content",保存文件的内容
"Please correct the server type.",请更正服务器类型。
"Import path %1 not exists","导入路径 %1 不存在"
"We can't read the file.",我们无法读取该文件。
"We can't save the file history file.",我们不能保存文件历史记录文件。
"Unknown file format",未知的文件格式
"Local Server",本地服务器
"Remote FTP","远程 FTP"
Binary,二进制
"Stop Import",停止导入
"Continue Processing",继续处理
Successful,成功
"Can not open file",不能打开文件
"%store_name - Scheduled Export Failed",%store_name-计划导出失败
"%operation_name - Scheduled Export Failed",%operation_name-计划导出失败
"Operation name:",操作名称:
"Entity type:",实体类型:
"File history path:",文件历史路径:
"Log trace:",跟踪日志:
"Scheduled Import/Export File History Cleanup Warnings",预定的进出口文件历史清理警告
"%store_name  - Scheduled Import Failed",%store_name-计划导入失败
"%operation_name - Scheduled Import Failed",%operation_name-计划导入失败
"Scheduled Import/Export File History Cleaning",预定清洗的导入/导出文件历史记录
"Save Files, Days",保存文件，天
"Enable Scheduled File History Cleaning",启用定时的文件历史记录清洗
"Are you sure you want to delete the selected scheduled imports/exports?",是否确实要删除所选计划的进口/出口?
"Last Run",上一次运行
"Last Outcome",上次结果
"Search Term",搜索词
"Search Synonyms",搜索同义词
"New Synonym Group",新同义词组
"Delete Synonym Group",删除同义词组
"Are you sure you want to delete this synonym group?",你确定要删除此同义词组？
"Save Synonym Group",保存同义词组
"Save Search",保存搜索
"Delete Search",删除搜索
"Edit Search '%1'","编辑搜索 '%1'"
"New Search",新的搜索
"Search Information",搜索信息
"Number of results",结果数量：
"Number of results (For the last time placed)","(为最后一次放置) 结果数目"
"For the last time placed.",最后一次放置。
"Number of Uses",使用次数
"ex. http://domain.com","如: http://domain.com"
"Display in Suggested Terms",在显示建议的措辞
"The synonym group has been deleted.",同义词组已被删除。
"An error was encountered while performing delete operation.",执行删除操作时遇到错误。
"We can't find a synonym group to delete.",我们找不到要删除的同义词组。
"This synonyms group no longer exists.",这个同义词组不再存在。
"Edit Synonym Group",编辑同义词组
"Synonym Group",同义词组
"Failed to delete %1 synonym group(s).","未能删除 %1 同义词组。"
"A total of %1 synonym group(s) have been deleted.","共有 %1 同义词组已被删除。"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","% 1搜索引擎不支持搜索同义词。您输入的任何同义词都不会被使用。"
"This synonym group no longer exists.",这个同义词组不再存在。
"You saved the synonym group.",你保存同义词组。
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","

您输入的术语（% 1）属于1个现有的同义词组，% 2。选择“合并现有同义词”复选框，以便合并术语。 "
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","您输入的 (%1) 的条款属于 %2 现有的同义词组、 %3 和 %4。因此可以合并条款，请选择""合并现有的同义词""复选框。"
"You deleted the search.",你删除的搜索。
"We can't find a search term to delete.",我们找不到一个搜索词删除。
"This search no longer exists.",该搜索已不存在。
"Edit Search",编辑搜索
"Please select searches.",请选择搜索。
"Search Terms Report",搜索字词报告
"You saved the search term.",您保存的搜索词。
"Something went wrong while saving the search query.",保存搜索查询时，出了错。
"You already have an identical search term query.",你已经有一个相同的搜索词查询。
"Your search query can't be longer than %1, so we shortened your query.","您的搜索查询不能超过 %1，所以我们缩短您的查询。"
"Merge conflict with existing synonym group(s): %1","合并冲突与现有的同义词组： %1"
"    All Store Views",所有存储视图
"Are you sure you want to delete synonym group with id: %1?",你确定要删除此同义词组？
"Search entire store here...",在这里搜索整个商店...
"There are no search terms available.",没有搜索条件。
"Search Engine",搜索引擎
Hits,点击
"Suggested Terms",建议的条款
"You can adjust the scope of this synonym group by selecting an option from the list.",您可以通过从列表中选择一个选项来调整此同义词组的范围。
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","逗号分隔的同义词列表。职权范围输入 （用逗号隔开） 将作为""或""搜索查询用来搜索您的整个存储区。例如，如果您输入""鞋，鞋""，用户搜索""鞋""，搜索结果将包含任何产品或内容与术语""鞋""或""鞋履""。"
Synonyms,同义词
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.",自动合并共享相同的作用域的组中的同义词。如果您选中此复选框，将一个或多个相同的条件添加到不同的同义词组在同一范围内，自动合并到一个组的所有条款。如果这不是你想要的取消选中框中，并显示一个错误，如果你尝试添加相同的条款。
"Are you sure you want to delete the selected synonym groups?",您确定要删除所选的同义词组吗?
"Account Activity",帐户活动
"All other open sessions for this account were terminated.",此帐户所有其他打开的会话将被终止。
"We couldn't logout because of an error.",由于发生错误，我们不能注销。
"Someone logged into this account from another device or browser. Your current session is terminated.",有人从另一个设备或浏览器登录到此帐户。您当前的会话被终止。
"Your current session is terminated by another user of this account.",您当前的会话由该帐户的另一个用户终止。
"Your current session has been expired.",你当前的会话已过期。
"By IP and Email","通过 IP 和电子邮件"
"By IP","通过 IP"
"By Email",通过电子邮件
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","不正确的安全检查器类。它已实施 SecurityCheckerInterface"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.",此管理员帐户在多个位置打开。注意，其他位置可能是同一台计算机上的不同浏览器或会话。
"Concurrent session information:",并发会话信息：
"Time of session start",会话开始的时间
"Are you sure that you want to log out all other sessions?",你确定你想要注销所有其他会话？
"Log out all other sessions",所有其他会话注销
"This computer is using IP address %1.","这台计算机使用IP地址% 1。"
"Admin Account Sharing",管理员帐户共享
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.",如果设置为yes，则可以从多台计算机登录到同一帐户。默认设置没有提高安全性。
"Password Reset Protection Type",密码重置保护类型
"Max Number of Password Reset Requests",最大号的密码重置请求
"Limit the number of password reset request per hour. Use 0 to disable.","限制每小时密码重置请求的数量。使用 0 禁用。"
"Min Time Between Password Reset Requests",最小时间之间密码重置请求
"Delay in minutes between password reset requests. Use 0 to disable.","延迟在分钟之间密码重置请求。使用 0 禁用。"
"You can't send messages more than %1 times an hour.",限制发送
"The link to a friend was sent.",被送到一位朋友的链接。
"We found some problems with the data.",我们发现了一些问题的数据。
"Some emails were not sent.",未发送几封电子邮件。
"You've met your limit of %1 sends in an hour.","你见过你的 %1 发送在一个小时的极限。"
"Please enter a sender name.",请输入发件人的名称。
"Invalid Sender Email",无效发件人的电子邮件
